epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,7.93625,0.97355,0.85059,1.15746,0.56485,0.64029,0.5407,0.33985,1.31633,1.21351,1.35691,0.000467835,0.000467835,0.000467835
3,12.0761,0.94731,0.83006,1.14583,0.65459,0.65606,0.63069,0.38424,1.3599,1.20404,1.3734,0.000703182,0.000703182,0.000703182
4,16.2599,0.93724,0.87027,1.14246,0.68616,0.64705,0.63089,0.38753,1.39216,1.2009,1.40514,0.000934681,0.000934681,0.000934681
5,20.4529,0.92341,0.81361,1.14313,0.61071,0.60966,0.56872,0.35556,1.32384,1.26561,1.375,0.00116233,0.00116233,0.00116233
6,24.4773,0.94228,0.87074,1.19248,0.63397,0.64288,0.61844,0.36971,1.37237,1.22085,1.41851,0.00137241,0.00137241,0.00137241
7,28.5363,0.90832,0.79227,1.14428,0.65166,0.67478,0.60103,0.36451,1.35528,1.15632,1.41686,0.00136109,0.00136109,0.00136109
8,32.5989,0.94211,0.8199,1.1659,0.6191,0.64332,0.61233,0.37593,1.32163,1.16843,1.39367,0.00134978,0.00134978,0.00134978
9,36.6679,0.8861,0.79834,1.13014,0.64746,0.5696,0.58102,0.36136,1.3594,1.31929,1.39333,0.00133846,0.00133846,0.00133846
10,40.7389,0.96376,0.83561,1.16004,0.57395,0.57507,0.55734,0.34481,1.3874,1.56203,1.3977,0.00132714,0.00132714,0.00132714
11,44.7847,0.93026,0.82103,1.1412,0.60306,0.60239,0.58156,0.36034,1.44075,1.31608,1.41677,0.00131582,0.00131582,0.00131582
12,48.8389,0.89138,0.7972,1.1166,0.65041,0.64588,0.59877,0.37018,1.38212,1.19526,1.38155,0.00130451,0.00130451,0.00130451
13,52.937,0.94004,0.85208,1.15982,0.68796,0.64162,0.64875,0.39172,1.38495,1.1288,1.40187,0.00129319,0.00129319,0.00129319
14,57.0696,0.92265,0.79957,1.12648,0.6762,0.6565,0.64895,0.39244,1.3972,1.31579,1.37954,0.00128187,0.00128187,0.00128187
15,61.2432,0.94187,0.81647,1.13835,0.65728,0.63259,0.61428,0.36982,1.37545,1.15844,1.38034,0.00127055,0.00127055,0.00127055
